final_rate,run,nodes,scenario
329.1515441555513,25-02-run1,3,16
338.61548328121626,25-02-run1,3,32
108.63908700144101,25-02-run1,3,4
186.43504555798086,25-02-run1,3,8
495.68961668168777,25-02-run1,6,16
550.9093161528723,25-02-run1,6,32
99.0635146252028,25-02-run1,6,4
320.2233390248848,25-02-run1,6,8
348.5192019433751,25-02-run2,3,16
356.6745012313352,25-02-run2,3,32
118.51760834542601,25-02-run2,3,4
176.81119923281676,25-02-run2,3,8
542.3042623291792,25-02-run2,6,16
530.8275935277412,25-02-run2,6,32
138.06632912556609,25-02-run2,6,4
329.2086650204184,25-02-run2,6,8
319.43293978317774,25-02-run3,3,16
301.3496696218742,25-02-run3,3,32
98.95647171625538,25-02-run3,3,4
234.38555502244068,25-02-run3,3,8
496.17637504597184,25-02-run3,6,16
596.7834464350856,25-02-run3,6,32
138.12079599626884,25-02-run3,6,4
329.9127071101662,25-02-run3,6,8
347.393868205651,25-02-run4,3,16
357.8688657107245,25-02-run4,3,32
118.49271828268365,25-02-run4,3,4
234.31002381679383,25-02-run4,3,8
515.0173295400123,25-02-run4,6,16
551.5111897996982,25-02-run4,6,32
99.04096303082572,25-02-run4,6,4
310.9865943316658,25-02-run4,6,8
291.7037525204779,25-02-run5,3,16
394.6586394572793,25-02-run5,3,32
128.180005778529,25-02-run5,3,4
205.695603771922,25-02-run5,3,8
493.84621149548127,25-02-run5,6,16
564.5034887520819,25-02-run5,6,32
137.86228318964302,25-02-run5,6,4
244.1303588892733,25-02-run5,6,8
301.04150462355074,25-02-run6,3,16
348.06424134825727,25-02-run6,3,32
128.3189096681063,25-02-run6,3,4
196.28382187856118,25-02-run6,3,8
486.6276332260667,25-02-run6,6,16
541.2078407392839,25-02-run6,6,32
108.5778942429488,25-02-run6,6,4
328.5162180091165,25-02-run6,6,8
329.284108106279,25-02-run7,3,16
347.86671149657445,25-02-run7,3,32
108.81485921884605,25-02-run7,3,4
205.40359311729014,25-02-run7,3,8
487.3514246496378,25-02-run7,6,16
565.5453812169433,25-02-run7,6,32
137.8913938832741,25-02-run7,6,4
329.35372504701564,25-02-run7,6,8
253.8464549900614,26-02-run1,3,16
347.5545897625202,26-02-run1,3,32
98.9493396443845,26-02-run1,3,4
205.30872924033923,26-02-run1,3,8
568.7029116121821,26-02-run1,6,16
603.9060168918057,26-02-run1,6,32
99.01777333444365,26-02-run1,6,4
338.77271892428956,26-02-run1,6,8
318.6133165439919,26-02-run2,3,16
384.9340091518623,26-02-run2,3,32
98.96660365952238,26-02-run2,3,4
234.12517082846514,26-02-run2,3,8
550.3735482688219,26-02-run2,6,16
559.4748412418944,26-02-run2,6,32
99.0468074388355,26-02-run2,6,4
243.99124154107102,26-02-run2,6,8
339.13793146197196,27-02-run1,3,16
358.34291441651845,27-02-run1,3,32
99.10050039445943,27-02-run1,3,4
186.8680302144287,27-02-run1,3,8
516.7301388946275,27-02-run1,6,16
606.7323764706684,27-02-run1,6,32
118.74696999813523,27-02-run1,6,4
348.96481279020304,27-02-run1,6,8
570.8642261456802,28-02-run1,12,16
765.4356199015812,28-02-run1,12,32
138.10403643771366,28-02-run1,12,4
348.9585769736673,28-02-run1,12,8
704.0694676617707,28-02-run1,9,16
763.3855967698847,28-02-run1,9,32
99.10712444135787,28-02-run1,9,4
386.94347093497817,28-02-run1,9,8
749.7265960776185,28-02-run10,12,16
828.2427285179209,28-02-run10,12,32
99.04837448749596,28-02-run10,12,4
497.12570492828877,28-02-run10,12,8
569.7838142604728,28-02-run10,9,16
679.882655408332,28-02-run10,9,32
99.06271736657207,28-02-run10,9,4
470.8455101555025,28-02-run10,9,8
665.2716598536629,28-02-run2,12,16
827.9328316540023,28-02-run2,12,32
137.95330933743028,28-02-run2,12,4
525.3830515027511,28-02-run2,12,8
664.3531432113417,28-02-run2,9,16
801.6741470239987,28-02-run2,9,32
138.1288644142326,28-02-run2,9,4
452.34031299638195,28-02-run2,9,8
570.9189760016201,28-02-run3,12,16
836.8992872702883,28-02-run3,12,32
138.1008941824228,28-02-run3,12,4
377.0201599303759,28-02-run3,12,8
704.0930178299749,28-02-run3,9,16
809.2808430670882,28-02-run3,9,32
138.19366307626453,28-02-run3,9,4
448.85465125753564,28-02-run3,9,8
663.7727453836762,28-02-run4,12,16
684.5738578017134,28-02-run4,12,32
128.3592925865953,28-02-run4,12,4
497.8485732787019,28-02-run4,12,8
669.4966732914501,28-02-run4,9,16
784.6946100994708,28-02-run4,9,32
100,28-02-run4,9,4
348.82358688947903,28-02-run4,9,8
828.6712516599539,28-02-run5,12,16
947.8106275882575,28-02-run5,12,32
128.29352010488049,28-02-run5,12,4
534.227471704714,28-02-run5,12,8
564.0500525178826,28-02-run5,9,16
731.9515409169369,28-02-run5,9,32
138.2874463996717,28-02-run5,9,4
396.213302773919,28-02-run5,9,8
569.8630858916961,28-02-run6,12,16
819.7282314663589,28-02-run6,12,32
167.19064949069397,28-02-run6,12,4
488.88954054605375,28-02-run6,12,8
679.8262713752998,28-02-run6,9,16
846.3784257678842,28-02-run6,9,32
138.05473483848755,28-02-run6,9,4
459.14605987277565,28-02-run6,9,8
766.9633994627404,28-02-run7,12,16
880.294994528839,28-02-run7,12,32
108.75743985257175,28-02-run7,12,4
506.3072040245574,28-02-run7,12,8
733.2597628393604,28-02-run7,9,16
699.2938256825078,28-02-run7,9,32
100,28-02-run7,9,4
525.9226407092457,28-02-run7,9,8
570.25915986944506,28-02-run8,12,16
828.1022013759639,28-02-run8,12,32
128.40287981768273,28-02-run8,12,4
525.4096701687623,28-02-run8,12,8
556.7570484011462,28-02-run8,9,16
788.321198035059,28-02-run8,9,32
138.0714615195891,28-02-run8,9,4
384.78963823101367,28-02-run8,9,8
669.82393896127,28-02-run9,12,16
861.4258012505574,28-02-run9,12,32
138.1886084805966,28-02-run9,12,4
525.8137638013014,28-02-run9,12,8
687.0997942586853,28-02-run9,9,16
794.8141795663524,28-02-run9,9,32
108.93146750021296,28-02-run9,9,4
292.5502601668772,28-02-run9,9,8
